#Aperture(m), Duration(hours), a, b
0.15, 17.6, 0.00045548780581907355, 0.45991229654766436
0.15, 17.7, 0.00045430098478173666, 0.45991301380805605
0.15, 17.8, 0.00045313017431726266, 0.459912799194372
0.15, 17.9, 0.0004519502287502462, 0.45991506518881026
0.15, 18.0, 0.0004507886678362567, 0.45991604596178326
0.15, 18.1, 0.00044964607221223364, 0.45991563583832906
0.15, 18.2, 0.0004474394932992045, 0.4599075316204085
0.15, 18.3, 0.000446316204534502, 0.4599079873917645
0.15, 18.4, 0.000445203919482347, 0.45990808030986396
0.15, 18.5, 0.000444086794438168, 0.45990999500123114
0.15, 18.6, 0.00044298311999996454, 0.4599111832028979
0.15, 18.7, 0.0004418982240387114, 0.45991087949957316
0.15, 18.8, 0.00044080298466524725, 0.4599131382345719
0.15, 18.9, 0.0004397282250723983, 0.4599136372315162
0.15, 19.0, 0.0004386654914000233, 0.45991354003262624
0.15, 19.1, 0.0004375953373893899, 0.45991557226779295
0.15, 19.2, 0.0004365366218080619, 0.45991707032490087
0.15, 19.3, 0.0004345349071407076, 0.4599068150331772
0.15, 19.4, 0.000433493915614453, 0.45990894252278336
0.15, 19.5, 0.000432470223698961, 0.4599096437842635
0.15, 19.6, 0.0004314581210117525, 0.45990971289769167
0.15, 19.7, 0.0004304411446122179, 0.45991149421102706
0.15, 19.8, 0.00042944216185184365, 0.4599117020091199
0.15, 19.9, 0.00042844951500791616, 0.45991199162343266
0.15, 20.0, 0.0004274496764640636, 0.4599143074405902
0.2, 0.3, 0.002746050081920075, 0.45961610023823835
0.2, 0.4, 0.002369447472725108, 0.4598421525088774
0.2, 0.5, 0.002121855579065676, 0.45976776294753624
0.2, 0.6, 0.0018101669158261966, 0.45918943419547953
0.2, 0.7, 0.0016929735654891633, 0.4591998207213722
0.2, 0.8, 0.0015943005705478185, 0.4592714319794763
0.2, 0.9, 0.0015111001599009623, 0.4593280822054318
0.2, 1.0, 0.0014392779615286875, 0.4593923234341636
0.2, 1.1, 0.0013767878638370008, 0.4594468324134417
0.2, 1.2, 0.0013231401187464955, 0.4594298323211607
0.2, 1.3, 0.0012743716188919577, 0.4594607375069458
0.2, 1.4, 0.0012306839227090494, 0.4594846387539176
0.2, 1.5, 0.0011910281836657142, 0.45951450800177135
0.2, 1.6, 0.0011549305794373123, 0.45954314864435797
0.2, 1.7, 0.0010961318970320484, 0.45933564087987927
0.2, 1.8, 0.0010681564628469318, 0.4593484231805549
0.2, 1.9, 0.0010422850593766974, 0.4593560791073867
0.2, 2.0, 0.0010176931231290392, 0.4593941756182759
0.2, 2.1, 0.0009954173098438016, 0.459388379457065
0.2, 2.2, 0.000973766862091433, 0.4594321989648318
0.2, 2.3, 0.0009540156964849347, 0.45943720350037165
0.2, 2.4, 0.0009351774793404978, 0.45945778955133526
0.2, 2.5, 0.0009175426534051721, 0.45946812200955883
0.2, 2.6, 0.0009009004626954612, 0.4594755627184488
0.2, 2.7, 0.0008852830692700796, 0.4594719719032052
0.2, 2.8, 0.0008577395772329541, 0.45936456674344406
0.2, 2.9, 0.0008439505251432913, 0.459385086038051
0.2, 3.0, 0.0008311344249728373, 0.4593799469788008
0.2, 3.1, 0.0008185195083474848, 0.45940265716064627
0.2, 3.2, 0.0008066839908984249, 0.4594070794869204
0.2, 3.3, 0.0007952330303333279, 0.4594201303447226
0.2, 3.4, 0.0007843649011001203, 0.45942392919641395
0.2, 3.5, 0.0007736501894882158, 0.4594498679658451
0.2, 3.6, 0.0007636448199955788, 0.459451681990231
0.2, 3.7, 0.0007540096394030487, 0.4594540824992851
0.2, 3.8, 0.0007446003443847517, 0.45946712346773394
0.2, 3.9, 0.0007281794027225759, 0.45937364095844996
0.2, 4.0, 0.0007197597365327616, 0.459381995176974
0.2, 4.1, 0.0007115161660606521, 0.4593994487949064
0.2, 4.2, 0.0007035700955373972, 0.45941433986015123
0.2, 4.3, 0.0006960167834838926, 0.4594168560548499
0.2, 4.4, 0.0006886850247753409, 0.4594207525545399
0.2, 4.5, 0.0006815893386759367, 0.45942366484222774
0.2, 4.6, 0.0006746202929405652, 0.4594345286337016
0.2, 4.7, 0.0006677990461562589, 0.4594506572867977
0.2, 4.8, 0.0006613276065793699, 0.45945244961587334
0.2, 4.9, 0.0006550040769322859, 0.4594576257103515
0.2, 5.0, 0.0006437609688496962, 0.45938311065905796
0.2, 5.1, 0.0006378697743750643, 0.45939447783374854
0.2, 5.2, 0.0006322076810760724, 0.45939858520517757
0.2, 5.3, 0.0006265552077282175, 0.4594161802952614
0.2, 5.4, 0.0006211989345878132, 0.4594185516468657
0.2, 5.5, 0.0006159225167614751, 0.45942636961022076
0.2, 5.6, 0.0006108488056722667, 0.4594268109417081
0.2, 5.7, 0.0006058698715458085, 0.45943015064804804
0.2, 5.8, 0.0006009693561782043, 0.4594376301223018
0.2, 5.9, 0.0005961679200942827, 0.459446722256669
0.2, 6.0, 0.0005914874816888581, 0.459454733909703
0.2, 6.1, 0.0005831587999678522, 0.4593947302351643
0.2, 6.2, 0.0005787956034439504, 0.45940106795778407
0.2, 6.3, 0.000574566889962135, 0.45940314031150525
0.2, 6.4, 0.0005703672351535944, 0.45941188965957774
0.2, 6.5, 0.000566321250356816, 0.45941353781638405
0.2, 6.6, 0.0005622801152653135, 0.4594239173385875
0.2, 6.7, 0.0005583928509646345, 0.4594264349773151
0.2, 6.8, 0.0005545818138548726, 0.4594292547761026
0.2, 6.9, 0.0005507899666083041, 0.4594384707655139
0.2, 7.0, 0.0005471584703071148, 0.4594380097536779
0.2, 7.1, 0.000543527578360509, 0.4594455419056901
0.2, 7.2, 0.0005369945692704276, 0.4594005298098508
